"","alpha_hat_ij_Grass","gamma_H_hat_ih_beetle","focal","year","complexity.plant","complexity.animal"
"1",-0.299727388742563,0.202148700014318,"LEMA","2020","class","group"
"2",-0.38318825532763,0.172431959877185,"LEMA","2020","class","group"
"3",-0.219726396073965,0.279120731351584,"LEMA","2020","class","group"
"4",-0.282997427343865,0.186459882503248,"LEMA","2020","class","group"
"5",-0.346532990546632,0.265984956158528,"LEMA","2020","class","group"
"6",-0.289576628301941,0.130805668942326,"LEMA","2020","class","group"
"7",-0.370894621252452,0.158500455261438,"LEMA","2020","class","group"
"8",-0.266540003114131,0.13925219214921,"LEMA","2020","class","group"
"9",-0.254377889596441,0.105323061275712,"LEMA","2020","class","group"
"10",-0.275921697032043,0.16540287129095,"LEMA","2020","class","group"
"11",-0.357287024815787,0.377272562623328,"LEMA","2020","class","group"
"12",-0.295394768481074,0.108321941163734,"LEMA","2020","class","group"
"13",-0.304821718991376,0.167951413983032,"LEMA","2020","class","group"
"14",-0.221619071413029,0.14592835121514,"LEMA","2020","class","group"
"15",-0.262618972210276,0.182753306711327,"LEMA","2020","class","group"
"16",-0.233373964651056,0.161966361847559,"LEMA","2020","class","group"
"17",-0.270769322376346,0.10425683018225,"LEMA","2020","class","group"
"18",-0.257730494130912,0.13793531526367,"LEMA","2020","class","group"
"19",-0.300806989541009,0.0772764323092507,"LEMA","2020","class","group"
"20",-0.358787082389524,0.282281648857334,"LEMA","2020","class","group"
"21",-0.390553535484115,0.216131112190212,"LEMA","2020","class","group"
"22",-0.317117353027922,0.203792871866604,"LEMA","2020","class","group"
"23",-0.366143786855287,0.162802012746077,"LEMA","2020","class","group"
"24",-0.424984054847919,0.175879476214789,"LEMA","2020","class","group"
"25",-0.348245062308652,0.101178164160334,"LEMA","2020","class","group"
"26",-0.384502036681982,0.245911089139583,"LEMA","2020","class","group"
"27",-0.378792783077066,0.0689586240228159,"LEMA","2020","class","group"
"28",-0.360758657593446,0.16961100891489,"LEMA","2020","class","group"
"29",-0.320731805248578,-0.03322849542218,"LEMA","2020","class","group"
"30",-0.362506570794322,0.195787325077001,"LEMA","2020","class","group"
"31",-0.303559792478739,0.100044211800799,"LEMA","2020","class","group"
"32",-0.315224991495915,0.115058917735167,"LEMA","2020","class","group"
"33",-0.301355055069922,0.136800957249431,"LEMA","2020","class","group"
"34",-0.297085997397557,0.0453455734298018,"LEMA","2020","class","group"
"35",-0.315350488923085,0.246514004661471,"LEMA","2020","class","group"
"36",-0.234621538963936,0.0863922293997932,"LEMA","2020","class","group"
"37",-0.401964661835225,0.115396146936961,"LEMA","2020","class","group"
"38",-0.320866665992237,0.0441373939223124,"LEMA","2020","class","group"
"39",-0.385254672754258,0.21543424975335,"LEMA","2020","class","group"
"40",-0.40693981643551,0.118752239495358,"LEMA","2020","class","group"
"41",-0.324653912030823,0.189047547923805,"LEMA","2020","class","group"
"42",-0.384963090429605,0.336513564669253,"LEMA","2020","class","group"
"43",-0.363217105732367,0.234416516590372,"LEMA","2020","class","group"
"44",-0.242265502589439,0.119471546155468,"LEMA","2020","class","group"
"45",-0.277565843332373,0.242972822146494,"LEMA","2020","class","group"
"46",-0.316756466173571,-0.032769674455937,"LEMA","2020","class","group"
"47",-0.332726310367546,0.126203345159955,"LEMA","2020","class","group"
"48",-0.416949956786438,0.113589001138186,"LEMA","2020","class","group"
"49",-0.319619752489357,0.268372925412854,"LEMA","2020","class","group"
"50",-0.306125325653711,0.107730233154112,"LEMA","2020","class","group"
"51",-0.279552649354117,0.269569293374045,"LEMA","2020","class","group"
"52",-0.313546654831373,0.165079922149055,"LEMA","2020","class","group"
"53",-0.267711000546732,0.121369971266095,"LEMA","2020","class","group"
"54",-0.298170591522343,0.0916344327854761,"LEMA","2020","class","group"
"55",-0.281660190204609,0.223312163786403,"LEMA","2020","class","group"
"56",-0.328428969451376,0.0603885978747487,"LEMA","2020","class","group"
"57",-0.33196586806827,0.0510367629210418,"LEMA","2020","class","group"
"58",-0.303811484535911,0.306112845348786,"LEMA","2020","class","group"
"59",-0.30108861440729,0.158540865563952,"LEMA","2020","class","group"
"60",-0.25777791389033,0.085702674370975,"LEMA","2020","class","group"
