"","gamma_H_hat_ih_beetle","beta_plant_hat_ijk_Forb_Grass","beta_plant_hat_ijk_Grass_LEMA","beta_H_hat_ijh_Grass_leafhopper","beta_H_hat_ijh_Forb_mite","focal","year","complexity.plant","complexity.animal"
"1",0.277693096486004,0.227020366946806,-0.0130939978917611,-0.026635927145766,-0.0300376341989879,"LEMA","All","class","group"
"2",0.0363216296681328,0.352501183291964,0.15781043137627,-0.178659283610329,-0.076685795543154,"LEMA","All","class","group"
"3",0.212545485845153,0.162692684013767,0.185869353900589,-0.162605786791946,0.0935401088856644,"LEMA","All","class","group"
"4",0.0866135294477699,0.129773126259181,0.0688299062004747,-0.132568329314657,-0.106550320887123,"LEMA","All","class","group"
"5",0.356291604970165,0.124858288604724,-0.0251531052961363,-0.0338625501444092,-0.0235359623383272,"LEMA","All","class","group"
"6",0.176867627217755,0.146755642465295,0.0941904801457645,-0.260170535316056,-0.13344408804017,"LEMA","All","class","group"
"7",0.134639544622987,0.229492111946531,-0.0200108747758457,-0.106007962553643,-0.14235768274447,"LEMA","All","class","group"
"8",0.0418648284573642,0.397042718682972,0.159362151946347,-0.132984020742766,-0.296953493841349,"LEMA","All","class","group"
"9",0.312876039056665,0.10660944962367,0.132093178647544,-0.08062960037748,-0.0569796868099026,"LEMA","All","class","group"
"10",0.181825587988587,0.164570389514885,-0.0203301379507882,-0.0908407339345759,-0.242321327788204,"LEMA","All","class","group"
"11",0.285066544403419,0.229530002137822,0.0412908939476353,-0.109584501254481,-0.158231572344031,"LEMA","All","class","group"
"12",0.316287353564615,0.140696570086612,0.061140673207253,-0.320176692985743,-0.297072388277336,"LEMA","All","class","group"
"13",0.0271272704669518,0.265135956398693,0.101532445461954,-0.12570261374197,-0.131969258125722,"LEMA","All","class","group"
"14",0.13198647938728,0.276367094556041,-0.00638661464538859,-0.155952092220935,-0.120466537633042,"LEMA","All","class","group"
"15",0.068085320979838,0.156128584481208,0.17646843296047,-0.11897854665031,-0.0256120119832118,"LEMA","All","class","group"
"16",0.164871462060445,0.0615795068547527,0.109317369087687,-0.175268524839068,-0.0974621771863118,"LEMA","All","class","group"
"17",0.0872937035214905,0.250282736108941,0.130768273949505,-0.302511936298699,0.0776702819703985,"LEMA","All","class","group"
"18",0.249115171838942,0.119226028338013,-0.0858275541659062,0.061125562140677,-0.0625968904402586,"LEMA","All","class","group"
"19",0.29200393803801,0.0704804555184684,0.0651037352524266,-0.284885701029493,-0.249680811956326,"LEMA","All","class","group"
"20",0.231344437826453,0.147885537120189,0.0120133834873983,-0.111976357195278,0.0275703729399239,"LEMA","All","class","group"
"21",0.210267359552881,0.180409090796402,0.0205409197253485,-0.188554020122864,-0.116830900669442,"LEMA","All","class","group"
"22",0.247785702898399,0.0689507634636137,0.0995536118228215,-0.192052711827289,-0.19344449534225,"LEMA","All","class","group"
"23",0.226471750257509,0.161007734700711,0.0888675232079554,-0.258888578381011,-0.0514071113096688,"LEMA","All","class","group"
"24",0.266785058765469,0.0842819821045064,0.145758948998646,0.0116383524925878,-0.0445487348586134,"LEMA","All","class","group"
"25",0.256190664605114,0.0273328140278388,-0.139110315103953,-0.272522732852315,-0.114668399657168,"LEMA","All","class","group"
"26",0.109526428765001,0.103546305562948,0.00216210106991777,-0.131027116632104,-0.280959906299974,"LEMA","All","class","group"
"27",0.183332375416306,0.0893927858436685,0.00355923317903373,-0.233610191154511,-0.181442656389139,"LEMA","All","class","group"
"28",0.147039180290197,0.12599865186242,0.146029055865929,-0.0982358408041872,-0.0615427799228339,"LEMA","All","class","group"
"29",0.247643911100595,0.147280371140549,-0.159390355710906,-0.153880214619931,-0.200837708399844,"LEMA","All","class","group"
"30",0.212425611101172,0.127067286937077,0.0439728728911397,-0.199871726735009,-0.00196964279934508,"LEMA","All","class","group"
