"","alpha_hat_ij_Plantaginaceae","alpha_hat_ij_Ranunculuc","gamma_FV_hat_if_Bibionidae","gamma_H_hat_ih_Nitidulidae","beta_plant_hat_ijk_Fabaceae_Poaceae","beta_plant_hat_ijk_Poaceae_LEMA","beta_H_hat_ijh_Poaceae_Geomitridae","beta_FV_hat_ijf_NA","focal","year","complexity.plant","complexity.animal"
"1",-0.163556392150254,0.0496421448297315,0.140556181922039,0.0814924191477719,0.142534103044759,0.0790915457254755,-0.159184837437791,-0.196693863124792,"LEMA","All","family","family"
"2",-0.0291490323021165,0.128753963852994,0.138101258629965,0.263709619006604,-0.106468705961035,0.0188506729340545,-0.0305162034788286,-0.195594507329963,"LEMA","All","family","family"
"3",-0.163744399611921,0.0627731640649383,0.276058656058432,0.166198353221154,0.0122511071897062,0.0796998913856575,-0.247627056393209,-0.0728938815602701,"LEMA","All","family","family"
"4",-0.0380407685624286,0.00685671728436366,0.0161680675519225,-0.0585550946399994,0.00563400224197474,0.0843699237859423,-0.239426755946571,-0.0651177994984251,"LEMA","All","family","family"
"5",-0.102104274881612,0.0893291695693259,0.151747796106096,0.112004587060288,-0.0675097527240816,0.0077515669557271,-0.132118726222281,0.0308006217001726,"LEMA","All","family","family"
"6",-0.0706168897887834,-0.059941621264184,0.328459810592066,0.204890281139666,0.145762707720313,-0.057171832467544,-0.14278156177816,-0.0586170157945167,"LEMA","All","family","family"
"7",-0.00110251316855015,0.237579013684445,0.184391055724718,0.0703310505774482,0.16264191739645,0.0896606183559958,-0.27023252435903,-0.104085932839114,"LEMA","All","family","family"
"8",-0.0540133220456783,0.0408892017994202,0.164680706592944,0.219734076238282,-0.0463219067902335,0.0388578697697817,-0.0938369399556319,-0.167989949369923,"LEMA","All","family","family"
"9",-0.0354563011712358,-0.0584754187037203,0.0994776404954025,0.0701620551048767,0.00662168292779142,-0.151917722947978,-0.154349107943486,0.0349859937623354,"LEMA","All","family","family"
"10",-0.160685063954847,-0.0539231122780492,0.153086000873433,0.144796143220342,0.0677052777717246,0.185536315687608,-0.17819926420245,-0.0374724003835166,"LEMA","All","family","family"
"11",-0.101369742914034,0.13886076804763,0.247995675079307,0.192490982062749,0.0432660798935505,-0.104416766389613,-0.0487466599489947,-0.0457439062446917,"LEMA","All","family","family"
"12",-0.0312478660036228,0.178971779747449,-0.0120484934027759,0.198731604736607,0.00846332814438644,-0.0303594272221356,-0.0625945773518688,-0.0003482490955109,"LEMA","All","family","family"
"13",-0.0628939633604214,-0.00648025414711229,0.0672079948369042,0.148597827807909,0.106146155328763,0.143895646053573,-0.148957439819062,-0.0462497238569686,"LEMA","All","family","family"
"14",-0.0755306914990712,0.115608200892888,0.319697202048292,0.164642237537741,0.0497435321811248,0.0276570926601136,-0.0843760407546718,-0.0202864721260253,"LEMA","All","family","family"
"15",-0.0709627179658814,0.159293784569726,0.109519850072242,0.219716196944419,-0.0495401148887259,0.0645333946444291,-0.375908817211918,-0.0555138464715415,"LEMA","All","family","family"
"16",-0.0603157058599315,0.0467185100134027,0.19266421487553,0.0496801454606628,-0.0887773553332386,0.128878804598628,-0.248399917806126,-0.0949919619421359,"LEMA","All","family","family"
"17",-0.16667324608714,0.0377664812880889,0.0880904507879594,0.109185772790049,-0.0607843608786086,0.00543848202110553,0.00704009494598123,-0.142329525508038,"LEMA","All","family","family"
"18",-0.165217695640838,0.0789539556903374,0.358677771784079,-0.0255807385591041,0.0223078118747317,0.110067310905407,-0.00792694881532274,-0.162489007244515,"LEMA","All","family","family"
"19",-0.0119171694672678,-0.00473253022178211,0.118055306599935,0.136195501730375,-0.0717134178838719,0.247051417890039,-0.13029112070856,0.002241442512388,"LEMA","All","family","family"
"20",-0.0477996312868452,0.158681391964272,0.25098447378825,0.211987838907214,-0.0231741870868521,-0.109545001317717,-0.09576721852621,-0.140859560582512,"LEMA","All","family","family"
"21",0.00273320854158854,-0.0800315501183948,0.11230542227726,0.199623218183955,0.0189067829845024,0.137024971131883,-0.273621674219048,-0.0172141402151539,"LEMA","All","family","family"
"22",0.111766139549307,0.0262328844801234,0.143689625219745,0.2049009656055,0.137167436227164,0.153136142131474,-0.0801766073916715,0.0244738342486015,"LEMA","All","family","family"
"23",-0.202184996250263,0.118955329696631,0.256220605909489,0.0290884455831446,-0.081465036666328,-0.00372602803994804,-0.20746304946146,-0.150647736848423,"LEMA","All","family","family"
"24",0.064093352003618,0.214424284570533,0.249651291572803,0.106731576776424,0.132385138398147,0.141022056865799,-0.115757529066268,-0.0504425785179115,"LEMA","All","family","family"
"25",-0.152832604642044,-0.0124680709201666,0.202595534441796,-0.00137140340902997,-0.147442239751282,0.0811447739757618,-0.0897521899277329,-0.0675880536774504,"LEMA","All","family","family"
"26",-0.233759162551202,0.0531068340218637,0.102794532131369,0.1736112122083,-0.0756221256839185,0.0778188269056177,-0.0864722324299652,-0.210293837297233,"LEMA","All","family","family"
"27",-0.0947950435867793,0.0613276760991475,0.389750239141696,-0.0082658070308389,-0.019592307486928,0.195756732503098,-0.166296577211046,-0.158030237772463,"LEMA","All","family","family"
"28",0.140116982763319,0.151713426441415,0.196641365744731,0.114870363221187,0.196576603086451,0.0374587826321495,-0.0708616367842191,0.0323956473869209,"LEMA","All","family","family"
"29",-0.0568835895987519,0.16039912282232,0.171899425126222,0.121806384637851,0.00824268292306862,0.157253342419126,-0.299400854843032,0.0307840727570865,"LEMA","All","family","family"
"30",-0.129437663190932,0.182313958678982,0.330038182384383,0.149653614927894,-0.0576308800228899,0.00233814658808185,0.00773815965061608,-0.201911374372784,"LEMA","All","family","family"
"31",0.0373280596228611,0.315354375730179,0.170703104879096,0.100566989203046,0.105454040923476,-0.0542314166956325,-0.0813452707799348,-0.0512879016497618,"LEMA","All","family","family"
"32",-0.0368577342824444,0.0653872867674894,0.222009508279028,0.354927233187752,0.0978128690902431,0.137953592793955,-0.108204133948788,-0.10702261498018,"LEMA","All","family","family"
