"","alpha_hat_ij_Asteraceae","alpha_hat_ij_Caryophyllaceae","alpha_hat_ij_Fabaceae","gamma_FV_hat_if_Bibionidae","gamma_FV_hat_if_Muscidae","gamma_FV_hat_if_Ulidiidae","beta_plant_hat_ijk_Asteraceae_Poaceae","focal","year","complexity.plant","complexity.animal"
"1",-0.23646339226997,-0.150522526220448,-0.0344700786562321,0.200181172850832,-0.138291651066068,-0.246246415800392,0.144923498382372,"CHFU","All","family","family"
"2",-0.356017359288109,-0.0214845188564518,-0.0357121093326129,0.319376901821865,-0.266606136828935,-0.014178212097171,0.133785494983482,"CHFU","All","family","family"
"3",-0.302809181223358,-0.175914509891949,-0.0763988988060893,0.225176306250725,-0.262673942506801,-0.375828122483407,0.078905574647629,"CHFU","All","family","family"
"4",-0.336860352803917,-0.0599109927926287,-0.0619019557201498,0.218278933764841,-0.0211264553226647,-0.194265020489541,-0.0659966127956797,"CHFU","All","family","family"
"5",-0.331865668703115,0.0341120803167965,-0.140099166234702,0.318801473529031,-0.0738057920680313,-0.246221018709685,-0.217271598643881,"CHFU","All","family","family"
"6",-0.273933919150721,-0.048882154009624,0.00723416815452138,0.0249187969863343,-0.0316138076692097,-0.173541433724769,0.0117291991003672,"CHFU","All","family","family"
"7",-0.212968964872044,0.0487639045588728,-0.0939403820629358,0.278466491299813,0.0114493010476979,-0.0901331041287462,0.101338964499289,"CHFU","All","family","family"
"8",-0.308218080928308,0.20580705594679,-0.0231568824759537,0.262458536792031,-0.175245610489041,-0.242707405078806,0.159054278067888,"CHFU","All","family","family"
"9",-0.359482347067735,-0.119790437757509,-0.240547570365062,0.140754390645234,-0.147727630254348,-0.317031558382843,0.0203016751439058,"CHFU","All","family","family"
"10",-0.182966743666709,0.055322512042882,-0.0956610628486889,0.228065616967918,0.080074680995508,-0.268880269930554,0.122594722224293,"CHFU","All","family","family"
"11",-0.175941336144113,0.0292556270660915,0.0514139730929999,0.117893328066125,-0.144301898939736,-0.391887323339279,0.18115893071996,"CHFU","All","family","family"
