"","alpha_hat_ij_MEEL","alpha_hat_ij_POMO","alpha_hat_ij_SCLA","alpha_hat_ij_NA","beta_plant_hat_ijk_LEMA_POMO","focal","year","complexity.plant","complexity.animal"
"1",-0.228552289820397,-0.258524654218966,0.163977043798496,NA,-0.199448764070773,"HOMA","All","code.plant","species"
"2",-0.28346282817441,-0.182197091899218,0.149287374441254,NA,0.108277999058916,"HOMA","All","code.plant","species"
"3",-0.366902522537756,-0.147164972092011,0.268131613123756,NA,0.133405347750101,"HOMA","All","code.plant","species"
"4",-0.45115053585154,-0.279217601706521,0.0736456015022697,NA,-0.134150922527513,"HOMA","All","code.plant","species"
"5",-0.105961353254338,-0.329060365857236,-0.00742136849305353,NA,0.00991100498036945,"HOMA","All","code.plant","species"
"6",-0.160025331078959,-0.343715717136169,0.220000870580054,NA,0.270401279687941,"HOMA","All","code.plant","species"
"7",-0.334465195661253,-0.294682325365246,0.109336703231157,NA,0.0986550543427427,"HOMA","All","code.plant","species"
"8",-0.232598370839637,-0.141903005235943,0.0689619199218776,NA,-0.0569100824535131,"HOMA","All","code.plant","species"
"9",-0.265065183051967,-0.187602414821315,0.201747064702187,NA,0.111057986455709,"HOMA","All","code.plant","species"
"10",-0.325981416642866,-0.199158711722643,0.0169765875377352,NA,-0.0535690368558885,"HOMA","All","code.plant","species"
"11",-0.360126666214081,-0.0931295851443773,0.171999792098919,NA,0.0348297338343633,"HOMA","All","code.plant","species"
"12",-0.271693816688109,-0.177096573871936,0.12130485397744,NA,-0.0374203892233498,"HOMA","All","code.plant","species"
"13",-0.299776620711484,-0.175255634515596,0.226983886957774,NA,0.186821140841648,"HOMA","All","code.plant","species"
"14",-0.186413872033236,-0.229246972569819,0.253618564982405,NA,-0.223227371265254,"HOMA","All","code.plant","species"
"15",-0.297053740855154,-0.215428700553691,0.239387186676132,NA,0.107952063634746,"HOMA","All","code.plant","species"
"16",-0.257439994834292,-0.149736045201282,0.161053633764871,NA,-0.0591771438268632,"HOMA","All","code.plant","species"
"17",-0.239140323079771,-0.146750116254543,0.229397182766612,NA,0.0456353295227923,"HOMA","All","code.plant","species"
"18",-0.296311454694335,-0.187251359979972,0.216548660021383,NA,0.104144286534533,"HOMA","All","code.plant","species"
"19",-0.272122847850111,-0.128497337730606,0.0909278010475707,NA,0.0788463511447257,"HOMA","All","code.plant","species"
"20",-0.236878175848046,-0.127602230731595,0.08323615921181,NA,0.0817215208919271,"HOMA","All","code.plant","species"
"21",-0.21810792718952,-0.27784197814283,0.175037714345091,NA,0.0628571736467571,"HOMA","All","code.plant","species"
"22",-0.458863802792673,-0.170178637377364,0.128763949361355,NA,-0.126676562855576,"HOMA","All","code.plant","species"
"23",-0.239343358281781,-0.175567308101364,0.111361807315488,NA,0.0427459973328974,"HOMA","All","code.plant","species"
"24",-0.216036237728071,-0.160083751183231,0.271762547773722,NA,0.148821685738374,"HOMA","All","code.plant","species"
"25",-0.362788821463794,-0.210484610531246,0.0012219593286571,NA,-0.0166718193404611,"HOMA","All","code.plant","species"
"26",-0.210491941672079,-0.215887364943544,0.21771403474344,NA,-0.0600877133647348,"HOMA","All","code.plant","species"
"27",-0.261835742242097,-0.295598774878682,0.141330216185499,NA,0.0107414198774451,"HOMA","All","code.plant","species"
"28",-0.277298860392831,-0.166085762114188,0.0582065781007168,NA,0.0949168828309652,"HOMA","All","code.plant","species"
"29",-0.32605712253342,-0.24272036474628,0.123659472517584,NA,-0.00809619995826338,"HOMA","All","code.plant","species"
"30",-0.243490176255443,-0.22340678674648,0.318650348492986,NA,-0.0743155740847536,"HOMA","All","code.plant","species"
"31",-0.284794999828825,-0.242261292357195,0.146871378128896,NA,0.269336149765205,"HOMA","All","code.plant","species"
"32",-0.27218377350568,-0.348062675916986,0.189666715135705,NA,-0.0314749517650277,"HOMA","All","code.plant","species"
"33",-0.194449511801113,-0.223828292113195,0.11191117219879,NA,0.0183268123750038,"HOMA","All","code.plant","species"
"34",-0.387779575281532,-0.0961515635111253,0.15210370046395,NA,-0.0230313259793877,"HOMA","All","code.plant","species"
"35",-0.285742737634399,-0.0697575903846595,0.120533794542661,NA,0.0337489612840365,"HOMA","All","code.plant","species"
"36",-0.258442055768955,-0.261520722990077,0.278366057689726,NA,0.11261020124178,"HOMA","All","code.plant","species"
"37",-0.275809404145568,-0.214951884866959,0.0382677758701051,NA,0.0772669595880218,"HOMA","All","code.plant","species"
"38",-0.223030060124275,-0.265905954004543,0.0114787973566111,NA,-0.139543983270723,"HOMA","All","code.plant","species"
"39",-0.269714464116707,-0.223265830504403,0.113010985198129,NA,0.0542076654269079,"HOMA","All","code.plant","species"
"40",-0.3575534390589,-0.221669947248214,0.209901162276896,NA,-0.243097566504724,"HOMA","All","code.plant","species"
"41",-0.0813447022707062,-0.255315071157557,0.0452831770372968,NA,-0.0947433205858386,"HOMA","All","code.plant","species"
"42",-0.187180496025551,-0.168980094569679,0.180163061852745,NA,0.0720461228320808,"HOMA","All","code.plant","species"
"43",-0.332627653334082,-0.184670066669084,0.10611175345807,NA,0.0512006134259599,"HOMA","All","code.plant","species"
"44",-0.330869730958454,-0.22582878220997,0.316639082870432,NA,0.0640531080507796,"HOMA","All","code.plant","species"
"45",-0.303907268521408,-0.244169716432738,0.222688118918624,NA,0.0136314221928826,"HOMA","All","code.plant","species"
"46",-0.233993768224965,-0.175009969242492,0.133438189117323,NA,-0.0458127638671634,"HOMA","All","code.plant","species"
"47",-0.293944440294335,-0.269006175994458,0.0520593969710728,NA,0.0138007185347437,"HOMA","All","code.plant","species"
"48",-0.251609194357454,-0.172947303506625,0.237288157715234,NA,0.036667245832555,"HOMA","All","code.plant","species"
"49",-0.345201457599427,-0.0718240528656345,0.252803552407657,NA,0.021940394599826,"HOMA","All","code.plant","species"
"50",-0.213665912453563,-0.20297321235136,0.226939525918425,NA,-0.0171393558221435,"HOMA","All","code.plant","species"
"51",-0.305649021403586,-0.248631242153425,0.055685939113046,NA,0.0238473043340564,"HOMA","All","code.plant","species"
