"","focal","parameter","year","mean.adjusted.mean","mean.adjusted.sd","mean.estimate","mean.estimate.sd","abund.sp.mean.mean","abund.sp.mean.sd"
"1","CETE","Intraspecific",2019,-0.00449369333140037,0.00279631391681323,-0.0144636197733364,0.000363788071502595,0.30718954248366,0.195654156990757
"2","CETE","Intraspecific",2020,0.0149448586886305,0.0220899249173609,0.0302890030568769,4.18373857038117e-05,0.474153297682708,0.691021731627972
"3","CETE","Intraspecific",2021,0.00278602098680292,0.00311456584502534,0.00930351986639246,0.000400037903859624,0.263672259640001,0.297572060945115
"4","CETE","Plant - herbivore",2019,0.0383599301681699,0.000469104865008507,0.0442947204661161,0.000107686700897912,0.825674019607843,0
"5","CETE","Plant - herbivore",2020,-0.00311114934598167,0.000353366425889678,-0.0275726379053659,0.00119568079312067,0.124777183600713,0.0308743459459693
"6","CETE","Plant - herbivore",2021,-0.00173180736548717,0.000124241114448642,-0.0157016432659773,0.000184902963984153,0.122461170848268,0
"7","CETE","Plant - plant",2019,-0.014724969572937,0.00134091768893163,-0.00925230203676115,8.7874631505828e-05,1.69362745098039,0
"8","CETE","Plant - plant",2020,-0.0295704187546779,0.000635706691642257,-0.0166657041460441,3.04600162568362e-05,2.02139037433155,0
"9","CETE","Plant - plant",2021,-0.0131604424402948,0.00045842256000439,-0.0154273225696817,0.000254480145165818,0.900291464807594,0.0380329404553015
"10","CETE","Plant - pollinator",2019,0,0,-0.00224896137032835,0.000648630380901851,0,0
"11","CETE","Plant - pollinator",2020,0.016523208698247,0.000320819726894683,0.0615496586322236,0.000126812012455616,0.262923351158645,0.0154371729729844
"12","CETE","Plant - pollinator",2021,-0.003215361202208,8.05082434496285e-06,-0.0693378660398512,0.000161152666185665,0.0470430107526882,0
"13","CHFU","Intraspecific",2019,-0.00181581746762416,0.00305736341874763,-0.0349747127126569,0.000339791117330527,0.0530423280423281,0.0891236035675061
"14","CHFU","Intraspecific",2020,-0.00667082600337066,0.00940686179944916,-0.0200218701911107,0.000410941813389125,0.327366553781648,0.453470937592726
"15","CHFU","Intraspecific",2021,-0.0243097796810209,0.0376686319286919,-0.0616002274940832,0.000199767367544884,0.450619883040934,0.693606158884235
"16","CHFU","Plant - herbivore",2019,-0.00249137770319285,0.00194233237855856,-0.0324854917657021,0.00080428189375189,0.0740110859158479,0.0278735944780494
"17","CHFU","Plant - herbivore",2020,-0.00164919649743611,0.00473732833594309,-0.00131648113743592,0.000261855274783243,0.130825673278503,0.0865367030333795
"18","CHFU","Plant - herbivore",2021,0.00877438099116823,0.0108334401725076,0.0532495356697339,0.000369562299913345,0.168888888888889,0.0604918115058498
"19","CHFU","Plant - plant",2019,-0.238147598253649,0.00186585442076703,-0.220804860096913,0.000183694392774871,1.23809523809524,0
"20","CHFU","Plant - plant",2020,-0.226040150458121,0.00263020606499431,-0.222505221467391,8.68508910996141e-05,1.15747460087083,0
"21","CHFU","Plant - plant",2021,-0.0851365034482037,0.0179963270185077,-0.0438006318098694,0.000827109896298621,2.07288888888889,0.270969726339662
"22","CHFU","Plant - pollinator",2019,0.0183834801156357,0.00317779047454292,0.0329776291088955,0.000389245678942912,0.530753968253968,0.0657564300081935
"23","CHFU","Plant - pollinator",2020,0.0367976615120291,0.00939933711134677,0.0589345981508958,0.000591339328343942,0.613207547169811,0.155684198672787
"24","CHFU","Plant - pollinator",2021,0.106123650121252,0.0457869631537728,0.0765152508845773,0.000703042830113837,1.28922222222222,0.541416489234318
"25","HOMA","Intraspecific",2019,0.00230034623802533,0.00357941794367411,0.0341338723519255,4.28578933009102e-05,0.066970310391363,0.104600909094072
"26","HOMA","Intraspecific",2020,-0.049160986439776,0.0533590080987296,-0.126675580041673,9.16820608157233e-05,0.404734631538755,0.424428510824275
"27","HOMA","Intraspecific",2021,-0.0287912102859886,0.0442167237821687,-0.121631521202988,0.000789525741079079,0.232634338138925,0.342187155023773
"28","HOMA","Plant - herbivore",2019,-0.0081230809878593,0.00333570215508172,-0.0105255885993443,0.000140785711064352,0.832170369543374,0.0190949325841067
"29","HOMA","Plant - herbivore",2020,-0.00128736666828178,0.00698119720445045,-0.00268100903250247,0.000494131740286315,0.868547260299838,0.0983691109305175
"30","HOMA","Plant - herbivore",2021,0.0506763341470036,0.00192562964613918,0.118881926418707,0.000161333291712227,0.414598686519276,0.000759785660311405
"31","HOMA","Plant - plant",2019,0.0221896795855392,0.00064689355475922,0.0402483967371074,0.000176046587027465,0.535931174089069,0
"32","HOMA","Plant - plant",2020,0.0545652925476161,0.00192538220789906,0.0513439159584625,6.42391978272394e-06,1.00515463917526,0
"33","HOMA","Plant - plant",2021,-0.042345728973318,0.00526855662366899,-0.0539301736238174,0.000863936127151963,0.825961118392311,0.130055147466536
"34","HOMA","Plant - pollinator",2019,0,0,-0.00182711684970491,0.000291286813746385,0,0
"35","HOMA","Plant - pollinator",2020,0,0,0.000818592298015153,0.000504539464807848,0,0
"36","HOMA","Plant - pollinator",2021,0.000720179546735311,0.000625384538770035,0.0142665867709065,0.00263492551519592,0.0305810397553517,0.0264839573022764
"37","LEMA","Intraspecific",2019,0.000343363866461166,0.000535620077813936,0.00158174653125254,0.000307871280020637,0.0767241379310343,0.10211100860831
"38","LEMA","Intraspecific",2020,0.00119125348814331,0.00201723548831034,0.0022337236855778,0.00017513605914715,0.267592592592593,0.321928079878939
"39","LEMA","Intraspecific",2021,-0.0370807479293708,0.0547295650229425,-0.196899636183563,0.000235680825815695,0.189043209876543,0.262505341302594
"40","LEMA","Plant - herbivore",2019,-0.0425789800854606,0.0115515883527137,-0.0877243400767709,0.000300995061034873,0.505172413793104,0.153699909911417
"41","LEMA","Plant - herbivore",2020,0.349126241054216,0.0278484336414782,0.324945507798768,0.000644244510819337,0.921884185773075,0.0431440731745733
"42","LEMA","Plant - herbivore",2021,0.0229033601073487,0.00882069706961808,0.0334707815563881,6.75426232042561e-05,0.664986184175567,0.0126627072111711
"43","LEMA","Plant - plant",2019,-0.339218963820439,0.167494363823408,-0.22791191294982,0.00158886656122447,1.82298850574713,0
"44","LEMA","Plant - plant",2020,-0.156151761053245,0.0289662441996308,-0.130012211648183,0.000150821798212678,1.30277777777778,0
"45","LEMA","Plant - plant",2021,-0.210931640854444,0.00982034021431022,-0.243544815711086,0.000137942067767417,0.974537037037037,0
"46","LEMA","Plant - pollinator",2019,0.0177360471621721,0.00939248857898267,0.0252635922549054,0.000928925998871423,0.840517241379309,0.38085012703527
"47","LEMA","Plant - pollinator",2020,0.0548543610465493,0.0261449888075751,0.0897446955987975,0.000499927352823399,0.583052749719417,0.23132889573591
"48","LEMA","Plant - pollinator",2021,0.0784209518972325,0.0368638275313442,0.144803660852127,0.000432094047516731,0.531144781144781,0.0542732736668117
